symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSFT,2025-01-10 05:00:00+00:00,424.63,424.71,415.02,418.95,20201132.0,360661.0,419.245883
MSFT,2025-01-13 05:00:00+00:00,415.235,418.5,412.29,417.19,17604780.0,305299.0,415.931109
MSFT,2025-01-14 05:00:00+00:00,417.81,419.74,410.72,415.67,16935857.0,291484.0,415.426735
MSFT,2025-01-15 05:00:00+00:00,419.13,428.15,418.265,426.31,19637838.0,306574.0,425.577611
MSFT,2025-01-16 05:00:00+00:00,428.695,429.49,424.39,424.58,15300023.0,247931.0,426.043781
MSFT,2025-01-17 05:00:00+00:00,434.085,434.48,428.17,429.03,26197507.0,280168.0,431.070206
MSFT,2025-01-21 05:00:00+00:00,430.2,430.8999,425.595,428.5,26085703.0,389324.0,428.42908
MSFT,2025-01-22 05:00:00+00:00,437.56,447.27,436.0,446.2,27803811.0,463559.0,443.417003
MSFT,2025-01-23 05:00:00+00:00,442.0,446.75,441.5048,446.71,18389270.0,281369.0,444.873454
MSFT,2025-01-24 05:00:00+00:00,445.16,446.65,441.4,444.06,15549453.0,269540.0,444.040266
MSFT,2025-01-27 05:00:00+00:00,424.01,435.2,423.5,434.56,35647805.0,646791.0,430.619846
MSFT,2025-01-28 05:00:00+00:00,434.6,448.38,431.38,447.2,23491703.0,419473.0,443.572732
MSFT,2025-01-29 05:00:00+00:00,446.69,446.88,440.4,442.33,23581370.0,466063.0,442.99927
MSFT,2025-01-30 05:00:00+00:00,418.77,422.86,413.16,414.99,54586260.0,1142723.0,416.146345
MSFT,2025-01-31 05:00:00+00:00,418.98,420.69,414.91,415.06,34223388.0,567270.0,416.816664
MSFT,2025-02-03 05:00:00+00:00,411.6,415.41,408.66,410.92,25649334.0,504926.0,411.959933
MSFT,2025-02-04 05:00:00+00:00,412.685,413.9199,409.74,412.37,20384293.0,351281.0,412.065524
MSFT,2025-02-05 05:00:00+00:00,412.35,413.827,410.4,413.29,16336188.0,311862.0,412.588349
MSFT,2025-02-06 05:00:00+00:00,414.0,418.2,414.0,415.82,16309755.0,289458.0,416.070423
MSFT,2025-02-07 05:00:00+00:00,416.48,418.65,408.1,409.75,22761117.0,433674.0,411.341005
MSFT,2025-02-10 05:00:00+00:00,413.71,415.4624,410.92,412.22,20806118.0,291113.0,412.726992
MSFT,2025-02-11 05:00:00+00:00,409.64,412.49,409.3,411.44,18140592.0,242310.0,411.022177
MSFT,2025-02-12 05:00:00+00:00,407.21,410.75,404.3673,409.04,19121734.0,328185.0,408.61024
MSFT,2025-02-13 05:00:00+00:00,407.0,411.0,406.36,410.54,23891731.0,327103.0,409.515879
MSFT,2025-02-14 05:00:00+00:00,407.79,408.91,405.88,408.43,22758464.0,366188.0,407.661534
